,sessionId,isAI,expName,generation,trialIdx,trialType,networkId,score,maxLevelReached,myopic_score,ai_score
99,63e623d186a07638e1044c48,False,rn-iii-pilot-2B,1,25.0,individual,d671557b0fa87b4caabdc1c86bfe1820,650.0,2.0,1250.0,1250.0
100,63e623d186a07638e1044c48,False,rn-iii-pilot-2B,1,27.0,demonstration,7173ddba9d182a73414229ce0b9cb26b,1000.0,0.0,1250.0,1250.0
101,63e623d186a07638e1044c48,False,rn-iii-pilot-2B,1,28.0,demonstration,f9726eb343b030b64cc31ffaf4973d58,1150.0,4.0,1250.0,1250.0
102,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,8.0,try_yourself,641ea5755d77783463424e412b7571f0,1450.0,4.0,1450.0,1450.0
103,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,11.0,try_yourself,530482c6eb42d2520436d5201f0ce505,750.0,4.0,750.0,750.0
104,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,15.0,try_yourself,641ea5755d77783463424e412b7571f0,1450.0,4.0,1450.0,1450.0
105,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,18.0,try_yourself,530482c6eb42d2520436d5201f0ce505,650.0,4.0,750.0,750.0
106,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,20.0,individual,b8bce1e57a0a76f96bac5cfcddf9bdc3,500.0,1.0,1250.0,1250.0
107,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,21.0,individual,40a4d5f5ac8b3c4b3166051b9f5b379e,900.0,0.0,1150.0,1150.0
108,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,22.0,individual,cad515571305d6506c6e50720e2e192a,1000.0,0.0,1250.0,1250.0
109,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,23.0,individual,a86a67281af116f6f872f3274d8e0db1,350.0,1.0,1650.0,1650.0
110,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,24.0,individual,00ce9158e0402fba179f837d8fdabe1b,850.0,2.0,1250.0,1250.0
111,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,25.0,individual,d21232c17e9c9aad6e2936c51097dd9f,850.0,2.0,1250.0,1250.0
112,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,27.0,demonstration,a5dde7cfcaa6790b67f64ba90a42bd19,1300.0,0.0,1250.0,1250.0
113,63e623d186a07638e1044c49,False,rn-iii-pilot-2B,1,28.0,demonstration,92830783df31813c7ac48676c76be1c1,350.0,1.0,1450.0,1450.0
114,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,8.0,try_yourself,1299563582f09584a113bc83104b5bfd,-800.0,0.0,750.0,750.0
115,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,11.0,try_yourself,d4c907d4d59fa15e5e3ca1e74ee13301,950.0,2.0,1250.0,1250.0
116,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,15.0,try_yourself,6c40731a43cb4d173ab20f29d9484f0a,1000.0,2.0,1050.0,1050.0
117,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,18.0,try_yourself,8d797ba460f85ab40492013e6e0107c4,800.0,2.0,1250.0,1250.0
118,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,20.0,individual,bd294aa7743afbaceb7fd4933190917e,650.0,2.0,1650.0,1650.0
119,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,21.0,individual,ecb2ecf0dee728d790960e54719d1e68,950.0,1.0,1250.0,1250.0
120,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,22.0,individual,0f8cb15b73cb4855885f567e1b38a565,900.0,2.0,1250.0,1250.0
121,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,23.0,individual,c6a19f25ec6220011c5574a59df0cb02,800.0,0.0,1450.0,1450.0
122,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,24.0,individual,5a00ef5b0555f9eba3acd8de34d195c6,700.0,0.0,1650.0,1650.0
123,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,25.0,individual,bba4781d59b7e93b3c3d43982ed2ab6e,1350.0,1.0,1250.0,1250.0
124,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,27.0,demonstration,c610df1bbbbf0245df761af950267179,750.0,2.0,850.0,850.0
125,63e623d186a07638e1044c4a,False,rn-iii-pilot-2B,1,28.0,demonstration,14c27a6bdd1681de4813a8d1b7960709,100.0,2.0,850.0,850.0
126,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,8.0,try_yourself,515eea944e8313daf1472f46c1008452,1650.0,4.0,1650.0,1650.0
127,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,11.0,try_yourself,bb695c281dbc1168ea82dfd890f78998,850.0,4.0,850.0,850.0
128,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,15.0,try_yourself,1299563582f09584a113bc83104b5bfd,750.0,4.0,750.0,750.0
129,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,18.0,try_yourself,d4c907d4d59fa15e5e3ca1e74ee13301,1250.0,4.0,1250.0,1250.0
130,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,20.0,individual,d4ad95ea359e3fd25a90374106ebaf9b,1050.0,4.0,1250.0,1250.0
131,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,21.0,individual,3de98ab90273c591cbcae5cc9bad8da8,1200.0,0.0,1250.0,1250.0
132,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,22.0,individual,6ddf50936344fa5b8bea545e6bb6dddc,1250.0,4.0,1050.0,1050.0
133,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,23.0,individual,00c8bc4f40d4adfffb3bd0e810ac595b,400.0,2.0,1250.0,1250.0
134,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,24.0,individual,2c4d3c5b836b0e8e031c6f1b1bfd071e,1250.0,4.0,1250.0,1250.0
135,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,25.0,individual,24fbb1a696f71d6e0d1b5108480f9264,550.0,1.0,1250.0,1250.0
136,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,27.0,demonstration,91c777c0c40bc78973b39b8790604b9a,-300.0,1.0,850.0,850.0
137,63e623d186a07638e1044c4b,False,rn-iii-pilot-2B,1,28.0,demonstration,481dd36fb964b358e0fed07115f48414,350.0,1.0,1450.0,1450.0
138,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,8.0,try_yourself,1299563582f09584a113bc83104b5bfd,500.0,2.0,750.0,750.0
139,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,11.0,try_yourself,d4c907d4d59fa15e5e3ca1e74ee13301,1250.0,4.0,1250.0,1250.0
140,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,15.0,try_yourself,515eea944e8313daf1472f46c1008452,1650.0,4.0,1650.0,1650.0
141,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,18.0,try_yourself,bb695c281dbc1168ea82dfd890f78998,850.0,4.0,850.0,850.0
142,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,20.0,individual,7f07fd25f4c3c470dbe0f5831dba4e7d,1650.0,4.0,1650.0,1650.0
143,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,21.0,individual,42f21d9512905fdee902b69795f3de35,1250.0,4.0,1250.0,1250.0
144,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,22.0,individual,04fc6cbee3837127477c7577f39b61d5,550.0,2.0,1450.0,1450.0
145,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,23.0,individual,a80bb106753fd224816dba14d2a8d2de,1250.0,4.0,1050.0,1050.0
146,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,24.0,individual,6b6ac9be22b3a89207684baadbbe3e5f,850.0,4.0,1050.0,1050.0
147,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,25.0,individual,4056abd25b257830525b066743e810dc,1050.0,4.0,1150.0,1150.0
148,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,27.0,demonstration,c6759264b325c64cb4ffd759277144e8,1250.0,4.0,1250.0,1250.0
149,63e623d186a07638e1044c4c,False,rn-iii-pilot-2B,1,28.0,demonstration,0e9b86035543889a05c5f89fe8262540,1350.0,1.0,1250.0,1250.0
150,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,8.0,try_yourself,1299563582f09584a113bc83104b5bfd,500.0,1.0,750.0,750.0
151,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,11.0,try_yourself,d4c907d4d59fa15e5e3ca1e74ee13301,1000.0,0.0,1250.0,1250.0
152,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,15.0,try_yourself,515eea944e8313daf1472f46c1008452,1650.0,4.0,1650.0,1650.0
153,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,18.0,try_yourself,bb695c281dbc1168ea82dfd890f78998,850.0,4.0,850.0,850.0
154,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,20.0,individual,70a8b9fb604c3854ad6558966854ec24,750.0,2.0,1250.0,1250.0
155,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,21.0,individual,e2e71496fb2572a3cdd0fce9f23d3cb8,1200.0,0.0,750.0,750.0
156,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,22.0,individual,adf1eaea26af2a6ef308a5e39f8d0e09,650.0,1.0,1250.0,1250.0
157,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,23.0,individual,9203a64c993a06eb5d314978ada116c8,1200.0,0.0,1250.0,1250.0
158,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,24.0,individual,a3755eb5c2f23d33261a204b3bfcc865,300.0,1.0,1250.0,1250.0
