playerId,trialIdx,trialType,score,maxLevelReached,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,networkId,myopic_score,ai_score,sessionId
acb,4.0,individual,550.0,2.0,-50.0,-50.0,400.0,-50.0,200.0,200.0,-50.0,-50.0,bf4040c7aae4c345405222e9b50bff43,700.0,1650.0,642bdb6f5b5b9c825f6d8acb
acb,5.0,individual,650.0,1.0,0.0,-50.0,200.0,200.0,-50.0,200.0,200.0,-50.0,282a6cc7486e263d2b0fee9e3f1972f7,400.0,1050.0,642bdb6f5b5b9c825f6d8acb
acb,10.0,try_yourself,200.0,1.0,-50.0,200.0,0.0,0.0,0.0,-50.0,200.0,-50.0,24e9a079fc0c8ec6cbb7b7aa5c4cd9c3,200.0,1650.0,642bdb6f5b5b9c825f6d8acb
acb,12.0,try_yourself,1650.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,400.0,400.0,24e9a079fc0c8ec6cbb7b7aa5c4cd9c3,200.0,1650.0,642bdb6f5b5b9c825f6d8acb
acb,13.0,try_yourself,1250.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,f5c536ec5cd5617a7098f544fc7cdae0,1200.0,1250.0,642bdb6f5b5b9c825f6d8acb
acb,15.0,try_yourself,450.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,-50.0,-50.0,f5c536ec5cd5617a7098f544fc7cdae0,1200.0,1250.0,642bdb6f5b5b9c825f6d8acb
acb,17.0,try_yourself,1450.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,400.0,24e9a079fc0c8ec6cbb7b7aa5c4cd9c3,200.0,1650.0,642bdb6f5b5b9c825f6d8acb
acb,19.0,try_yourself,1650.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,400.0,400.0,24e9a079fc0c8ec6cbb7b7aa5c4cd9c3,200.0,1650.0,642bdb6f5b5b9c825f6d8acb
acb,20.0,try_yourself,1250.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,f5c536ec5cd5617a7098f544fc7cdae0,1200.0,1250.0,642bdb6f5b5b9c825f6d8acb
acb,22.0,try_yourself,1250.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,f5c536ec5cd5617a7098f544fc7cdae0,1200.0,1250.0,642bdb6f5b5b9c825f6d8acb
acb,24.0,individual,1250.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,200.0,1a16f9857ca0f3590a44081a6e253b79,0.0,1450.0,642bdb6f5b5b9c825f6d8acb
acb,25.0,individual,1250.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,200.0,9af4d8d0989cac054183d7c065c65214,500.0,850.0,642bdb6f5b5b9c825f6d8acb
acb,26.0,individual,1650.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,400.0,400.0,bfc3abd5ff21130fcf457362c329b046,600.0,1450.0,642bdb6f5b5b9c825f6d8acb
acb,27.0,individual,200.0,2.0,-50.0,-50.0,400.0,0.0,0.0,0.0,-50.0,-50.0,481dd36fb964b358e0fed07115f48414,600.0,1450.0,642bdb6f5b5b9c825f6d8acb
acb,29.0,demonstration,850.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,200.0,200.0,200.0,f4a21524d32d139f43f38cf5e2de868b,900.0,850.0,642bdb6f5b5b9c825f6d8acb
acb,30.0,demonstration,400.0,1.0,-50.0,0.0,-50.0,200.0,-50.0,200.0,-50.0,200.0,04fc6cbee3837127477c7577f39b61d5,300.0,1450.0,642bdb6f5b5b9c825f6d8acb
acc,4.0,individual,-150.0,1.0,-50.0,200.0,200.0,-50.0,-50.0,-50.0,-50.0,-50.0,369fed85631588b9f60bd7709c79d4c0,800.0,1250.0,642bdb6f5b5b9c825f6d8acc
acc,5.0,individual,1000.0,2.0,200.0,-50.0,-50.0,0.0,400.0,200.0,200.0,100.0,41d2982cb44e3f920a0cde591983309c,1200.0,1050.0,642bdb6f5b5b9c825f6d8acc
acc,10.0,try_yourself,450.0,2.0,-50.0,200.0,0.0,0.0,0.0,-50.0,-50.0,400.0,24e9a079fc0c8ec6cbb7b7aa5c4cd9c3,200.0,1650.0,642bdb6f5b5b9c825f6d8acc
acc,12.0,try_yourself,1650.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,400.0,400.0,24e9a079fc0c8ec6cbb7b7aa5c4cd9c3,200.0,1650.0,642bdb6f5b5b9c825f6d8acc
acc,13.0,try_yourself,1000.0,0.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0,-50.0,f5c536ec5cd5617a7098f544fc7cdae0,1200.0,1250.0,642bdb6f5b5b9c825f6d8acc
acc,15.0,try_yourself,650.0,3.0,200.0,100.0,200.0,100.0,200.0,-50.0,-50.0,-50.0,f5c536ec5cd5617a7098f544fc7cdae0,1200.0,1250.0,642bdb6f5b5b9c825f6d8acc
acc,17.0,try_yourself,850.0,2.0,0.0,-50.0,-50.0,400.0,200.0,200.0,-50.0,200.0,5cb65dc7783fdcd893e39ac3e9a0eaad,1100.0,1050.0,642bdb6f5b5b9c825f6d8acc
acc,19.0,try_yourself,1250.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,200.0,5cb65dc7783fdcd893e39ac3e9a0eaad,1100.0,1050.0,642bdb6f5b5b9c825f6d8acc
acc,20.0,try_yourself,1650.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,400.0,400.0,f8fa60dab58e7f8d327e920f750c2364,300.0,1450.0,642bdb6f5b5b9c825f6d8acc
acc,22.0,try_yourself,1450.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,400.0,f8fa60dab58e7f8d327e920f750c2364,300.0,1450.0,642bdb6f5b5b9c825f6d8acc
acc,24.0,individual,700.0,2.0,-50.0,-50.0,400.0,0.0,200.0,0.0,200.0,0.0,5c06d059835a31d0a6f9af62bf68b4f1,1000.0,1250.0,642bdb6f5b5b9c825f6d8acc
acc,25.0,individual,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,-50.0,977134714768ced9d234a0f8390cff49,800.0,1150.0,642bdb6f5b5b9c825f6d8acc
acc,26.0,individual,600.0,1.0,0.0,200.0,-50.0,200.0,200.0,-50.0,200.0,-50.0,772dadcc013c0b1c9d983020ef5d0b6e,1100.0,1050.0,642bdb6f5b5b9c825f6d8acc
acc,27.0,individual,1250.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,200.0,bbda40ff3551a0799811cb298be5f500,800.0,1450.0,642bdb6f5b5b9c825f6d8acc
acc,29.0,demonstration,1650.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,400.0,400.0,5e88ca1cb78c3874de9e11bd2cf06da3,800.0,1650.0,642bdb6f5b5b9c825f6d8acc
acc,30.0,demonstration,1300.0,2.0,200.0,-50.0,-50.0,400.0,200.0,200.0,200.0,200.0,6d8099192f8d8415f21631b69b14b622,1500.0,850.0,642bdb6f5b5b9c825f6d8acc
acd,4.0,individual,1250.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,200.0,d58a6f4353d55cd37513da1f47c91ee1,200.0,1250.0,642bdb6f5b5b9c825f6d8acd
acd,5.0,individual,450.0,2.0,-50.0,-50.0,400.0,0.0,200.0,-50.0,0.0,0.0,1fc8bdb24b08c5259812ee6af2e38258,450.0,1250.0,642bdb6f5b5b9c825f6d8acd
acd,10.0,try_yourself,300.0,3.0,0.0,-50.0,-50.0,-50.0,-50.0,200.0,200.0,100.0,5cb65dc7783fdcd893e39ac3e9a0eaad,1100.0,1050.0,642bdb6f5b5b9c825f6d8acd
acd,12.0,try_yourself,1050.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,200.0,200.0,5cb65dc7783fdcd893e39ac3e9a0eaad,1100.0,1050.0,642bdb6f5b5b9c825f6d8acd
acd,13.0,try_yourself,500.0,2.0,-50.0,-50.0,400.0,-50.0,-50.0,400.0,-50.0,-50.0,f8fa60dab58e7f8d327e920f750c2364,300.0,1450.0,642bdb6f5b5b9c825f6d8acd
