id,trialIdx,trialType,score,maxLevelReached,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,networkId,myopic_score,ai_score,sessionId
834,19.0,try_yourself,850.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,200.0,200.0,200.0,42f21d9512905fdee902b69795f3de35,600.0,1250.0,6422d978aff8868105633834
834,20.0,try_yourself,750.0,2.0,100.0,100.0,-50.0,200.0,100.0,-50.0,-50.0,400.0,e8734b5b66bca9a8369582876f59eafe,800.0,1250.0,6422d978aff8868105633834
834,22.0,try_yourself,600.0,2.0,100.0,100.0,-50.0,200.0,-50.0,-50.0,400.0,-50.0,e8734b5b66bca9a8369582876f59eafe,800.0,1250.0,6422d978aff8868105633834
834,24.0,individual,1250.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,dc8cf713b9c5aed18e6e65c78884ece4,800.0,1250.0,6422d978aff8868105633834
834,25.0,individual,600.0,4.0,-50.0,0.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,d4329f9d09e26255b7558ae1bb3500f4,400.0,1450.0,6422d978aff8868105633834
834,26.0,individual,800.0,2.0,100.0,-50.0,-50.0,400.0,100.0,-50.0,-50.0,400.0,d0a1983cf5a191aeae23939165dc3c67,300.0,1050.0,6422d978aff8868105633834
834,27.0,individual,500.0,2.0,-50.0,-50.0,400.0,-50.0,-50.0,400.0,-50.0,-50.0,ba32ac7f7714b924c1e4b44004b4c273,1200.0,1450.0,6422d978aff8868105633834
834,29.0,demonstration,350.0,2.0,-50.0,200.0,-50.0,200.0,-50.0,200.0,-50.0,-50.0,84aa64ecc9b04318af3e98f965f9b897,400.0,1450.0,6422d978aff8868105633834
834,30.0,demonstration,1250.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,200.0,771e6b8468e2e77f544b63d4de33dad2,900.0,1250.0,6422d978aff8868105633834
835,4.0,individual,550.0,1.0,100.0,200.0,-50.0,0.0,200.0,100.0,100.0,-50.0,c83906ad4f596c0a823e4de788c2404d,1100.0,1650.0,6422d978aff8868105633835
835,5.0,individual,1000.0,2.0,0.0,-50.0,-50.0,200.0,400.0,200.0,200.0,100.0,0e64dec233622fb2b0a7c82bf7b9bb1f,1100.0,1250.0,6422d978aff8868105633835
835,10.0,try_yourself,1100.0,2.0,200.0,200.0,200.0,-50.0,-50.0,400.0,0.0,200.0,975ea289a849aed45e6c4ac4a9cad8e9,1600.0,1450.0,6422d978aff8868105633835
835,12.0,try_yourself,1250.0,4.0,-50.0,-50.0,-50.0,200.0,200.0,400.0,200.0,400.0,975ea289a849aed45e6c4ac4a9cad8e9,1600.0,1450.0,6422d978aff8868105633835
835,13.0,try_yourself,-150.0,2.0,100.0,-50.0,200.0,-50.0,-50.0,-50.0,-50.0,-50.0,ffac4c7b6e9a1d6afaa0d18b45bd17a4,550.0,1250.0,6422d978aff8868105633835
