session_id,session_name,condition,generation,within_generation_idx,started_at,time_spend,expired,replaced,ai_player,simulated_subject,advisor,player_score,move_idx,source_num,target_num,reward,level,correct_repeat,myopic,optimal,large_loss_taken,trial_id,trial_type,solution_total_score,trial_idx
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,7,3,9,100,0,,True,False,False,5,demonstration,1600,4
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,8,9,3,200,0,,True,False,False,5,demonstration,1600,4
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,9,3,9,100,0,,True,False,False,5,demonstration,1600,4
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,0,8,3,200,0,,True,False,False,6,demonstration,2100,5
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,1,3,11,200,0,,True,False,False,6,demonstration,2100,5
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,2,11,7,200,0,,True,False,False,6,demonstration,2100,5
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,3,7,3,200,0,,True,False,False,6,demonstration,2100,5
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,4,3,11,200,0,,True,False,False,6,demonstration,2100,5
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,5,11,7,200,0,,True,False,False,6,demonstration,2100,5
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,6,7,3,200,0,,True,False,False,6,demonstration,2100,5
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,7,3,11,200,0,,True,False,False,6,demonstration,2100,5
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,8,11,7,200,0,,True,False,False,6,demonstration,2100,5
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,9,7,3,200,0,,True,False,False,6,demonstration,2100,5
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,0,0,4,200,0,,True,False,False,7,demonstration,1600,6
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,1,4,7,100,0,,True,False,False,7,demonstration,1600,6
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,2,7,4,200,0,,True,False,False,7,demonstration,1600,6
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,3,4,7,100,0,,True,False,False,7,demonstration,1600,6
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,4,7,4,200,0,,True,False,False,7,demonstration,1600,6
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,5,4,7,100,0,,True,False,False,7,demonstration,1600,6
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,6,7,4,200,0,,True,False,False,7,demonstration,1600,6
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,7,4,7,100,0,,True,False,False,7,demonstration,1600,6
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,8,7,4,200,0,,True,False,False,7,demonstration,1600,6
6568f759464e933804a0fb42,Gen 0 - None - 0 - AI,,0,0,,0.0,False,False,True,True,,1850,9,4,7,100,0,,True,False,False,7,demonstration,1600,6
