,network_id,strategy,step,source_node,current_node,reward,total_reward
110,977134714768ced9d234a0f8390cff49,myopic,7,0,6,100,700
111,977134714768ced9d234a0f8390cff49,myopic,8,6,0,100,800
112,f4a21524d32d139f43f38cf5e2de868b,myopic,1,5,1,200,200
113,f4a21524d32d139f43f38cf5e2de868b,myopic,2,1,6,0,200
114,f4a21524d32d139f43f38cf5e2de868b,myopic,3,6,5,100,300
115,f4a21524d32d139f43f38cf5e2de868b,myopic,4,5,8,200,500
116,f4a21524d32d139f43f38cf5e2de868b,myopic,5,8,5,100,600
117,f4a21524d32d139f43f38cf5e2de868b,myopic,6,5,1,200,800
118,f4a21524d32d139f43f38cf5e2de868b,myopic,7,1,6,0,800
119,f4a21524d32d139f43f38cf5e2de868b,myopic,8,6,5,100,900
120,3ecff30189f7eb8392c67f31902b782b,myopic,1,8,9,200,200
121,3ecff30189f7eb8392c67f31902b782b,myopic,2,9,7,0,200
122,3ecff30189f7eb8392c67f31902b782b,myopic,3,7,9,200,400
123,3ecff30189f7eb8392c67f31902b782b,myopic,4,9,7,0,400
124,3ecff30189f7eb8392c67f31902b782b,myopic,5,7,9,200,600
125,3ecff30189f7eb8392c67f31902b782b,myopic,6,9,7,0,600
126,3ecff30189f7eb8392c67f31902b782b,myopic,7,7,9,200,800
127,3ecff30189f7eb8392c67f31902b782b,myopic,8,9,7,0,800
128,8d353c693eb684f6a3ed4c9fae77de14,myopic,1,5,1,100,100
129,8d353c693eb684f6a3ed4c9fae77de14,myopic,2,1,5,0,100
130,8d353c693eb684f6a3ed4c9fae77de14,myopic,3,5,1,100,200
131,8d353c693eb684f6a3ed4c9fae77de14,myopic,4,1,5,0,200
132,8d353c693eb684f6a3ed4c9fae77de14,myopic,5,5,1,100,300
133,8d353c693eb684f6a3ed4c9fae77de14,myopic,6,1,5,0,300
134,8d353c693eb684f6a3ed4c9fae77de14,myopic,7,5,1,100,400
135,8d353c693eb684f6a3ed4c9fae77de14,myopic,8,1,5,0,400
136,d42351c19aaf4eb5aa98ad312016e815,myopic,1,8,7,200,200
137,d42351c19aaf4eb5aa98ad312016e815,myopic,2,7,2,0,200
138,d42351c19aaf4eb5aa98ad312016e815,myopic,3,2,4,100,300
139,d42351c19aaf4eb5aa98ad312016e815,myopic,4,4,7,0,300
140,d42351c19aaf4eb5aa98ad312016e815,myopic,5,7,2,0,300
141,d42351c19aaf4eb5aa98ad312016e815,myopic,6,2,4,100,400
142,d42351c19aaf4eb5aa98ad312016e815,myopic,7,4,7,0,400
143,d42351c19aaf4eb5aa98ad312016e815,myopic,8,7,2,0,400
144,b7bb92f3f3d58af9427a2e8ec5a5763a,myopic,1,3,9,0,0
145,b7bb92f3f3d58af9427a2e8ec5a5763a,myopic,2,9,3,200,200
146,b7bb92f3f3d58af9427a2e8ec5a5763a,myopic,3,3,9,0,200
147,b7bb92f3f3d58af9427a2e8ec5a5763a,myopic,4,9,3,200,400
148,b7bb92f3f3d58af9427a2e8ec5a5763a,myopic,5,3,9,0,400
149,b7bb92f3f3d58af9427a2e8ec5a5763a,myopic,6,9,3,200,600
150,b7bb92f3f3d58af9427a2e8ec5a5763a,myopic,7,3,9,0,600
151,b7bb92f3f3d58af9427a2e8ec5a5763a,myopic,8,9,3,200,800
152,1a16f9857ca0f3590a44081a6e253b79,myopic,1,6,5,200,200
153,1a16f9857ca0f3590a44081a6e253b79,myopic,2,5,2,-50,150
154,1a16f9857ca0f3590a44081a6e253b79,myopic,3,2,5,0,150
155,1a16f9857ca0f3590a44081a6e253b79,myopic,4,5,2,-50,100
156,1a16f9857ca0f3590a44081a6e253b79,myopic,5,2,5,0,100
157,1a16f9857ca0f3590a44081a6e253b79,myopic,6,5,2,-50,50
158,1a16f9857ca0f3590a44081a6e253b79,myopic,7,2,5,0,50
159,1a16f9857ca0f3590a44081a6e253b79,myopic,8,5,2,-50,0
160,a655a557466e7af834e6e7a6c001f199,myopic,1,0,5,0,0
161,a655a557466e7af834e6e7a6c001f199,myopic,2,5,0,100,100
