,network_id,strategy,step,source_node,current_node,reward,total_reward
28,e73266ab0418ccd645853a5b7ad60688,random,5,6,2,-50,-100
29,e73266ab0418ccd645853a5b7ad60688,random,6,2,7,200,100
30,e73266ab0418ccd645853a5b7ad60688,random,7,7,5,100,200
31,e73266ab0418ccd645853a5b7ad60688,random,8,5,9,-50,150
32,268b96a55e3092c64316ab7dcb993406,random,1,1,5,0,0
33,268b96a55e3092c64316ab7dcb993406,random,2,5,8,200,200
34,268b96a55e3092c64316ab7dcb993406,random,3,8,4,-50,150
35,268b96a55e3092c64316ab7dcb993406,random,4,4,8,200,350
36,268b96a55e3092c64316ab7dcb993406,random,5,8,2,200,550
37,268b96a55e3092c64316ab7dcb993406,random,6,2,8,0,550
38,268b96a55e3092c64316ab7dcb993406,random,7,8,2,200,750
39,268b96a55e3092c64316ab7dcb993406,random,8,2,8,0,750
40,5ea5e6aef62c6857db6990a8955ebe62,random,1,7,0,100,100
41,5ea5e6aef62c6857db6990a8955ebe62,random,2,0,7,0,100
42,5ea5e6aef62c6857db6990a8955ebe62,random,3,7,0,100,200
43,5ea5e6aef62c6857db6990a8955ebe62,random,4,0,1,-50,150
44,5ea5e6aef62c6857db6990a8955ebe62,random,5,1,9,-50,100
45,5ea5e6aef62c6857db6990a8955ebe62,random,6,9,5,-50,50
46,5ea5e6aef62c6857db6990a8955ebe62,random,7,5,8,-50,0
47,5ea5e6aef62c6857db6990a8955ebe62,random,8,8,1,-50,-50
48,7c697ed09226d22718126e874c59a913,random,1,2,3,100,100
49,7c697ed09226d22718126e874c59a913,random,2,3,5,-50,50
50,7c697ed09226d22718126e874c59a913,random,3,5,4,-50,0
51,7c697ed09226d22718126e874c59a913,random,4,4,1,-50,-50
52,7c697ed09226d22718126e874c59a913,random,5,1,2,0,-50
53,7c697ed09226d22718126e874c59a913,random,6,2,5,-50,-100
54,7c697ed09226d22718126e874c59a913,random,7,5,8,0,-100
55,7c697ed09226d22718126e874c59a913,random,8,8,5,-50,-150
56,a05855479ab6bb8b42e71c4ece54bf4f,random,1,7,3,-50,-50
57,a05855479ab6bb8b42e71c4ece54bf4f,random,2,3,7,0,-50
58,a05855479ab6bb8b42e71c4ece54bf4f,random,3,7,2,100,50
59,a05855479ab6bb8b42e71c4ece54bf4f,random,4,2,3,-50,0
60,a05855479ab6bb8b42e71c4ece54bf4f,random,5,3,6,-50,-50
61,a05855479ab6bb8b42e71c4ece54bf4f,random,6,6,4,-50,-100
62,a05855479ab6bb8b42e71c4ece54bf4f,random,7,4,1,-50,-150
63,a05855479ab6bb8b42e71c4ece54bf4f,random,8,1,7,200,50
64,a28b3a8b8de9e35a4b4e0a65c4ee29a3,random,1,4,8,-50,-50
65,a28b3a8b8de9e35a4b4e0a65c4ee29a3,random,2,8,7,-50,-100
66,a28b3a8b8de9e35a4b4e0a65c4ee29a3,random,3,7,0,-50,-150
67,a28b3a8b8de9e35a4b4e0a65c4ee29a3,random,4,0,9,200,50
68,a28b3a8b8de9e35a4b4e0a65c4ee29a3,random,5,9,0,400,450
69,a28b3a8b8de9e35a4b4e0a65c4ee29a3,random,6,0,9,200,650
70,a28b3a8b8de9e35a4b4e0a65c4ee29a3,random,7,9,5,200,850
71,a28b3a8b8de9e35a4b4e0a65c4ee29a3,random,8,5,9,200,1050
72,5df173a54c1bdece6b9ff98eba4d3ee3,random,1,1,3,0,0
73,5df173a54c1bdece6b9ff98eba4d3ee3,random,2,3,2,-50,-50
74,5df173a54c1bdece6b9ff98eba4d3ee3,random,3,2,0,200,150
75,5df173a54c1bdece6b9ff98eba4d3ee3,random,4,0,1,100,250
76,5df173a54c1bdece6b9ff98eba4d3ee3,random,5,1,2,-50,200
77,5df173a54c1bdece6b9ff98eba4d3ee3,random,6,2,9,-50,150
78,5df173a54c1bdece6b9ff98eba4d3ee3,random,7,9,3,400,550
79,5df173a54c1bdece6b9ff98eba4d3ee3,random,8,3,0,100,650
80,92830783df31813c7ac48676c76be1c1,random,1,7,1,-50,-50
81,92830783df31813c7ac48676c76be1c1,random,2,1,0,-50,-100
82,92830783df31813c7ac48676c76be1c1,random,3,0,7,400,300
83,92830783df31813c7ac48676c76be1c1,random,4,7,1,-50,250
84,92830783df31813c7ac48676c76be1c1,random,5,1,0,-50,200
85,92830783df31813c7ac48676c76be1c1,random,6,0,7,400,600
86,92830783df31813c7ac48676c76be1c1,random,7,7,5,100,700
